date,target,am,pm,predict
2020-04-17,working_day,21,2,weekend
2020-04-18,weekend,1,68,working_day
2020-04-19,weekend,18,15,working_day
2020-04-20,working_day,2,23,working_day
2020-04-21,working_day,0,25,working_day
2020-04-22,working_day,0,28,working_day
2020-04-23,working_day,10,33,working_day
2020-04-24,working_day,2,14,working_day
2020-04-25,weekend,30,74,working_day
2020-04-26,weekend,28,233,working_day
2020-04-27,working_day,4,2,working_day
2020-04-28,working_day,4,1,working_day
2020-04-29,working_day,0,17,working_day
2020-04-30,working_day,13,40,working_day
2020-05-01,working_day,8,52,working_day
2020-05-02,weekend,91,151,working_day
2020-05-03,weekend,47,133,working_day
2020-05-04,working_day,11,26,working_day
2020-05-05,working_day,81,58,working_day
2020-05-06,working_day,2,0,weekend
2020-05-07,working_day,14,38,working_day
2020-05-08,working_day,3,84,working_day
2020-05-09,weekend,0,86,working_day
2020-05-10,weekend,10,133,working_day
2020-05-11,working_day,3,183,working_day
2020-05-12,working_day,56,267,working_day
2020-05-13,working_day,6,205,working_day
2020-05-14,working_day,66,509,working_day
2020-05-15,working_day,10,0,weekend
2020-05-16,weekend,0,4,working_day
2020-05-17,weekend,2,46,working_day
2020-05-18,working_day,0,3,working_day
2020-05-19,working_day,20,14,working_day
2020-05-20,working_day,7,21,working_day
2020-05-21,working_day,1,48,working_day
