ingr,Potassium,Copper,Dietary Fiber,Selenium,Phosphorus,Choline,Vitamin D,Folate,Cholesterol,Sodium,Niacin,carbohydrates,Thiamin,Zinc,Fat,Vitamin B12,Protein,Vitamin E,Vitamin B6,Vitamin A,Iron,Calcium,Saturated fat,Riboflavin,Vitamin C,Magnesium,Vitamin K
almond,748.0,0.934,10.3,2.4,508.0,52.1,0.0,53.0,0.0,227.0,3.16,18.8,0.041,3.29,55.5,0.0,21.0,24.2,0.103,0.0,3.49,347.0,6.55,0.939,0.0,279.0,0.0
amaretto,0.0,0.08,0.0,0.4,0.0,0.0,0.0,0.0,0.0,5.0,0.003,41.6,0.0,0.04,0.3,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.014,0.0,0.0,0.0,0.0
anchovy,544.0,0.339,0.0,68.1,252.0,85.0,1.7,13.0,85.0,3670.0,19.9,0.0,0.078,2.44,9.71,0.88,28.9,3.33,0.203,12.0,4.63,232.0,2.2,0.363,0.0,69.0,12.1
apple,81.0,0.046,1.5,4.7,31.0,5.6,0.1,24.0,0.0,167.0,0.917,30.7,0.092,0.22,3.54,0.0,2.09,0.38,0.042,29.0,0.74,48.0,0.687,0.065,2.2,8.0,3.6
apple juice,101.0,0.012,0.2,0.1,7.0,1.8,0.0,0.0,0.0,4.0,0.073,11.3,0.021,0.02,0.13,0.0,0.1,0.01,0.018,0.0,0.12,8.0,0.022,0.017,10.3,5.0,0.0
apricot,259.0,0.078,2.0,0.1,23.0,2.8,0.0,9.0,0.0,1.0,0.6,11.1,0.03,0.2,0.39,0.0,1.4,0.89,0.054,96.0,0.39,13.0,0.027,0.04,10.0,10.0,3.3
artichoke,120.0,0.041,0.9,4.4,88.0,24.1,0.1,18.0,39.0,601.0,0.205,5.47,0.024,0.53,33.1,0.2,3.65,1.27,0.049,62.0,0.24,101.0,8.27,0.1,2.0,13.0,56.6
arugula,369.0,0.076,1.6,0.3,52.0,15.3,0.0,97.0,0.0,27.0,0.305,3.65,0.044,0.47,0.66,0.0,2.58,0.43,0.073,119.0,1.46,160.0,0.086,0.086,15.0,47.0,109.0
asian pear,121.0,0.05,3.6,0.1,11.0,5.1,0.0,8.0,0.0,0.0,0.219,10.6,0.009,0.02,0.23,0.0,0.5,0.12,0.022,0.0,0.0,4.0,0.012,0.01,3.8,8.0,4.5
asparagus,202.0,0.189,2.1,2.3,52.0,16.0,0.0,52.0,0.0,2.0,0.978,3.88,0.143,0.54,0.12,0.0,2.2,1.13,0.091,38.0,2.14,24.0,0.04,0.141,5.6,14.0,41.6
