ingr,Potassium,Copper,Dietary Fiber,Selenium,Phosphorus,Choline,Vitamin D,Folate,Cholesterol,Sodium,Niacin,Total Carbohydrate,Thiamin,Zinc,Total Fat,Vitamin B12,Protein,Vitamin E,Vitamin B6,Vitamin A,Iron,Calcium,Saturated fat,Riboflavin,Vitamin C,Magnesium,Vitamin K
almond,0.15914893617021278,1.037777777777778,0.3678571428571429,0.04363636363636363,0.4064,0.09472727272727273,0.0,0.1325,0.0,0.09869565217391305,0.1975,0.06836363636363636,0.034166666666666665,0.2990909090909091,0.7115384615384616,0.0,0.42,1.6133333333333333,0.06058823529411765,0.0,0.1938888888888889,0.26692307692307693,0.3275,0.7223076923076923,0.0,0.6642857142857143,0.0
amaretto,0.0,0.08888888888888889,0.0,0.007272727272727273,0.0,0.0,0.0,0.0,0.0,0.002173913043478261,0.0001875,0.15127272727272728,0.0,0.0036363636363636364,0.003846153846153846,0.0,0.0,0.0,0.0,0.0,0.003888888888888889,0.0,0.0006999999999999999,0.0,0.0,0.0,0.0
anchovy,0.11574468085106383,0.3766666666666666,0.0,1.238181818181818,0.2016,0.15454545454545454,0.08499999999999999,0.0325,0.2833333333333333,1.5956521739130434,1.24375,0.0,0.065,0.2218181818181818,0.1244871794871795,0.3666666666666667,0.578,0.222,0.11941176470588237,0.013333333333333334,0.25722222222222224,0.17846153846153845,0.11000000000000001,0.2792307692307692,0.0,0.16428571428571428,0.10083333333333333
apple,0.01723404255319149,0.05111111111111111,0.05357142857142857,0.08545454545454546,0.0248,0.01018181818181818,0.005,0.06,0.0,0.07260869565217391,0.0573125,0.11163636363636363,0.07666666666666667,0.02,0.045384615384615384,0.0,0.0418,0.025333333333333333,0.024705882352941178,0.03222222222222222,0.04111111111111111,0.036923076923076927,0.034350000000000006,0.05,0.024444444444444446,0.01904761904761905,0.030000000000000002
apple juice,0.02148936170212766,0.013333333333333332,0.0071428571428571435,0.0018181818181818182,0.0056,0.0032727272727272726,0.0,0.0,0.0,0.0017391304347826088,0.0045625,0.041090909090909095,0.0175,0.0018181818181818182,0.0016666666666666668,0.0,0.002,0.0006666666666666666,0.010588235294117648,0.0,0.006666666666666666,0.006153846153846154,0.0011,0.013076923076923078,0.11444444444444445,0.011904761904761904,0.0
apricot,0.0551063829787234,0.08666666666666667,0.07142857142857142,0.0018181818181818182,0.0184,0.00509090909090909,0.0,0.0225,0.0,0.0004347826086956522,0.0375,0.040363636363636365,0.025,0.018181818181818184,0.005,0.0,0.027999999999999997,0.059333333333333335,0.031764705882352945,0.10666666666666667,0.021666666666666667,0.01,0.00135,0.030769230769230767,0.1111111111111111,0.023809523809523808,0.0275
artichoke,0.02553191489361702,0.04555555555555555,0.03214285714285715,0.08,0.0704,0.04381818181818182,0.005,0.045,0.13,0.26130434782608697,0.0128125,0.01989090909090909,0.02,0.04818181818181819,0.42435897435897435,0.08333333333333334,0.073,0.08466666666666667,0.028823529411764706,0.06888888888888889,0.013333333333333332,0.07769230769230769,0.4135,0.07692307692307693,0.022222222222222223,0.030952380952380953,0.4716666666666667
arugula,0.07851063829787235,0.08444444444444445,0.05714285714285715,0.005454545454545454,0.0416,0.02781818181818182,0.0,0.2425,0.0,0.011739130434782608,0.0190625,0.013272727272727273,0.036666666666666674,0.042727272727272725,0.008461538461538461,0.0,0.0516,0.028666666666666667,0.04294117647058823,0.1322222222222222,0.0811111111111111,0.12307692307692308,0.0043,0.06615384615384615,0.16666666666666666,0.11190476190476191,0.9083333333333333
asian pear,0.02574468085106383,0.05555555555555556,0.1285714285714286,0.0018181818181818182,0.0088,0.009272727272727273,0.0,0.02,0.0,0.0,0.013687499999999998,0.03854545454545454,0.0075000000000000015,0.0018181818181818182,0.002948717948717949,0.0,0.01,0.008,0.012941176470588237,0.0,0.0,0.003076923076923077,0.0006000000000000001,0.007692307692307692,0.042222222222222223,0.01904761904761905,0.0375
asparagus,0.04297872340425532,0.20999999999999996,0.075,0.04181818181818182,0.0416,0.02909090909090909,0.0,0.13,0.0,0.0008695652173913044,0.061125,0.014109090909090908,0.11916666666666668,0.049090909090909095,0.0015384615384615385,0.0,0.044000000000000004,0.07533333333333332,0.05352941176470588,0.042222222222222223,0.11888888888888889,0.018461538461538463,0.002,0.10846153846153844,0.06222222222222222,0.03333333333333333,0.3466666666666667
aspen,0.003617021276595745,0.0022222222222222222,0.0,0.0,0.0064,0.0,0.0,0.0,0.0,0.0013043478260869566,0.0,0.0026545454545454546,0.0,0.0009090909090909091,0.0,0.0,0.0034000000000000002,0.0,0.0,0.0,0.0,0.003076923076923077,0.0,0.0,0.0,0.009523809523809525,0.0
avocado,0.012340425531914894,0.011111111111111112,0.0035714285714285718,0.02909090909090909,0.0248,0.006545454545454545,0.0,0.01,0.13333333333333333,0.3769565217391304,0.00875,0.026763636363636364,0.016666666666666666,0.022727272727272728,0.555128205128205,0.10833333333333334,0.038,0.30666666666666664,0.0058823529411764705,0.011111111111111112,0.019444444444444445,0.026153846153846153,0.29900000000000004,0.038461538461538464,0.0022222222222222222,0.016666666666666666,0.8058333333333334
bacon,0.03787234042553191,0.09333333333333334,0.07857142857142858,0.3090909090909091,0.3704,0.02218181818181818,0.005,0.265,0.04666666666666667,0.4652173913043478,0.28625,0.13672727272727273,0.38,0.07545454545454545,0.2692307692307692,0.05833333333333334,0.21,0.03066666666666667,0.07058823529411765,0.01888888888888889,0.14055555555555554,0.047692307692307694,0.5900000000000001,0.22615384615384612,0.0,0.04047619047619048,0.0325
banana,0.11404255319148936,0.22777777777777775,0.275,0.02727272727272727,0.0448,0.03872727272727273,0.0,0.035,0.0,0.0026086956521739132,0.044375,0.21236363636363637,0.07083333333333335,0.06818181818181818,0.4307692307692308,0.0,0.046,0.016,0.15294117647058825,0.0044444444444444444,0.06944444444444445,0.013846153846153847,1.45,0.013076923076923078,0.06999999999999999,0.18095238095238095,0.010833333333333334
barley,0.03,0.16444444444444448,0.14285714285714285,0.5236363636363637,0.1032,0.033999999999999996,0.0,0.2475,0.0,0.20565217391304347,0.349375,0.17272727272727273,0.3425,0.09454545454545454,0.05807692307692308,0.0,0.214,0.012666666666666666,0.06529411764705882,0.0,0.2,0.09615384615384616,0.034850000000000006,0.19384615384615383,0.0022222222222222222,0.09761904761904762,0.04083333333333334
bean,0.07829787234042553,0.2177777777777778,0.17500000000000002,0.14,0.084,0.029636363636363638,0.0,0.0525,0.0,0.19260869565217392,0.026875,0.05781818181818182,0.075,0.06272727272727273,0.04743589743589744,0.0,0.10880000000000001,0.06066666666666667,0.06764705882352942,0.0,0.08888888888888889,0.02,0.02645,0.07692307692307693,0.006666666666666666,0.09523809523809523,0.014166666666666666
beef,0.07659574468085106,0.1511111111111111,0.024999999999999998,0.39272727272727276,0.1464,0.12836363636363635,0.005,0.04,0.17333333333333334,0.16043478260869565,0.275,0.014763636363636362,0.05583333333333334,0.4109090909090909,0.0767948717948718,0.5291666666666667,0.37,0.03266666666666666,0.14176470588235296,0.0011111111111111111,0.10444444444444444,0.015384615384615385,0.089,0.15846153846153846,0.022222222222222223,0.05476190476190476,0.05416666666666667
beef rib,0.05829787234042553,0.11666666666666665,0.049999999999999996,0.11454545454545455,0.0688,0.06672727272727273,0.005,0.03,0.08666666666666667,0.10347826086956521,0.093125,0.05672727272727272,0.05333333333333334,0.2,0.07282051282051281,0.35833333333333334,0.1826,0.02266666666666667,0.11117647058823528,0.021111111111111112,0.07666666666666666,0.016923076923076923,0.126,0.07384615384615384,0.05333333333333333,0.05,0.14416666666666667
beef shank,0.07659574468085106,0.1511111111111111,0.024999999999999998,0.39272727272727276,0.1464,0.12836363636363635,0.005,0.04,0.17333333333333334,0.16043478260869565,0.275,0.014763636363636362,0.05583333333333334,0.4109090909090909,0.0767948717948718,0.5291666666666667,0.37,0.03266666666666666,0.14176470588235296,0.0011111111111111111,0.10444444444444444,0.015384615384615385,0.089,0.15846153846153846,0.022222222222222223,0.05476190476190476,0.05416666666666667
beef tenderloin,0.11404255319148936,0.1366666666666667,0.0,0.7981818181818181,0.2584,0.1890909090909091,0.015,0.0,0.24,0.25782608695652176,0.4275,0.0,0.6375000000000001,0.2127272727272727,0.05551282051282051,0.25833333333333336,0.5379999999999999,0.018666666666666668,0.38058823529411767,0.0,0.05444444444444444,0.004615384615384616,0.072,0.33999999999999997,0.0,0.07380952380952381,0.0
beer,0.00574468085106383,0.005555555555555556,0.0,0.010909090909090908,0.0112,0.018363636363636363,0.0,0.015,0.0,0.0017391304347826088,0.0320625,0.012909090909090908,0.004166666666666667,0.0009090909090909091,0.0,0.008333333333333333,0.0092,0.0,0.027058823529411764,0.0,0.0011111111111111111,0.003076923076923077,0.0,0.019230769230769232,0.0,0.014285714285714285,0.0
beet,0.02446808510638298,0.1288888888888889,0.028571428571428574,0.01818181818181818,0.0136,0.02727272727272727,0.0,0.0675,0.0,0.06478260869565218,0.0156875,0.059272727272727276,0.008333333333333333,0.023636363636363636,0.0010256410256410256,0.0,0.016,0.004,0.029411764705882356,0.0022222222222222222,0.022777777777777775,0.008461538461538461,0.0006500000000000001,0.03692307692307692,0.025555555555555554,0.03571428571428571,0.0025
bell pepper,0.04297872340425532,0.07222222222222223,0.024999999999999998,0.2127272727272727,0.0712,0.08363636363636363,0.0,0.0325,0.10666666666666667,0.10608695652173913,0.14125,0.016072727272727273,0.045000000000000005,0.1781818181818182,0.11692307692307691,0.25416666666666665,0.23800000000000002,0.06733333333333333,0.15058823529411766,0.01,0.06888888888888889,0.013076923076923076,0.10149999999999999,0.06384615384615384,0.25555555555555554,0.0380952380952381,0.17083333333333334
berry,0.027659574468085105,0.056666666666666664,0.075,0.005454545454545454,0.016,0.010545454545454545,0.0,0.0475,0.0,0.0004347826086956522,0.02475,0.03534545454545455,0.02333333333333333,0.013636363636363636,0.0039743589743589745,0.0,0.0138,0.024666666666666667,0.02823529411764706,0.0022222222222222222,0.020555555555555556,0.01,0.00095,0.021538461538461534,0.49,0.02619047619047619,0.06083333333333333
biscuit,0.0325531914893617,0.2833333333333333,0.014285714285714287,0.2727272727272727,0.2728,0.048545454545454544,0.015,0.1875,0.09333333333333334,0.35391304347826086,0.215,0.10909090909090909,0.32083333333333336,0.06454545454545454,0.3128205128205128,0.25,0.1934,0.056,0.03705882352941177,0.0011111111111111111,0.10333333333333333,0.036153846153846154,0.3715,0.16692307692307692,0.0,0.030952380952380953,0.04583333333333333
bitters,0.06574468085106383,0.035555555555555556,0.06785714285714285,0.0036363636363636364,0.028,0.019454545454545454,0.0,0.1225,0.006666666666666667,0.05565217391304348,0.017,0.015236363636363638,0.04083333333333334,0.06818181818181818,0.034743589743589744,0.0,0.016399999999999998,0.028666666666666667,0.03294117647058823,0.01888888888888889,0.020555555555555556,0.006923076923076923,0.0367,0.04,0.35444444444444445,0.0380952380952381,0.058333333333333334
blackberry,0.03446808510638298,0.18333333333333335,0.18928571428571428,0.007272727272727273,0.0176,0.015454545454545455,0.0,0.0625,0.0,0.0004347826086956522,0.040374999999999994,0.03494545454545454,0.016666666666666666,0.04818181818181819,0.006282051282051282,0.0,0.0278,0.078,0.01764705882352941,0.012222222222222223,0.034444444444444444,0.022307692307692306,0.0006999999999999999,0.02,0.23333333333333334,0.047619047619047616,0.165
blue cheese,0.05446808510638298,0.044444444444444446,0.0,0.2636363636363636,0.3096,0.028,0.025,0.09,0.25,0.5,0.06375,0.008509090909090909,0.024166666666666666,0.24181818181818182,0.3679487179487179,0.5083333333333333,0.428,0.016666666666666666,0.09764705882352942,0.22,0.017222222222222222,0.40615384615384614,0.9349999999999999,0.29384615384615387,0.0,0.05476190476190476,0.02
blueberry,0.016382978723404256,0.06333333333333334,0.08571428571428572,0.0018181818181818182,0.0096,0.01090909090909091,0.0,0.015,0.0,0.0004347826086956522,0.026125,0.05272727272727273,0.030833333333333338,0.014545454545454545,0.004230769230769231,0.0,0.0148,0.038,0.030588235294117652,0.0033333333333333335,0.015555555555555557,0.004615384615384616,0.0013999999999999998,0.031538461538461536,0.10777777777777776,0.014285714285714285,0.16083333333333333
bourbon,0.01872340425531915,0.09999999999999999,0.04642857142857143,0.11272727272727273,0.0528,0.0016363636363636363,0.0,0.31,0.0,0.15347826086956523,0.205,0.23199999999999998,0.2941666666666667,0.04454545454545455,0.33589743589743587,0.0,0.1074,0.16266666666666665,0.04176470588235294,0.0,0.16555555555555557,0.01,0.40499999999999997,0.24153846153846154,0.0,0.03333333333333333,0.09166666666666666
bran,0.03404255319148936,0.24000000000000002,0.1357142857142857,0.5781818181818182,0.0976,0.04818181818181818,0.0,0.4275,0.0,0.1991304347826087,0.279375,0.16218181818181818,0.3858333333333333,0.09545454545454546,0.07692307692307693,0.004166666666666667,0.192,0.004666666666666667,0.05411764705882353,0.0,0.21944444444444444,0.07307692307692308,0.06949999999999999,0.23846153846153845,0.0,0.10476190476190476,0.025833333333333333
brandy,0.000425531914893617,0.023333333333333334,0.0,0.0,0.0032,0.0,0.0,0.0,0.0,0.0004347826086956522,0.0008125000000000001,0.0,0.005,0.0036363636363636364,0.0,0.0,0.0,0.0,0.0005882352941176471,0.0,0.0022222222222222222,0.0,0.0,0.003076923076923077,0.0,0.0,0.0
bread,0.03595744680851064,0.1788888888888889,0.049999999999999996,0.24,0.1056,0.06290909090909091,0.025,0.1625,0.13666666666666666,0.13217391304347825,0.09875,0.17163636363636364,0.1691666666666667,0.05818181818181818,0.22564102564102567,0.0625,0.1192,0.10400000000000001,0.07058823529411765,0.035555555555555556,0.10555555555555556,0.1123076923076923,0.133,0.16538461538461538,0.01,0.05952380952380952,0.11833333333333333
brie,0.03234042553191489,0.021111111111111112,0.0,0.2636363636363636,0.1504,0.028,0.025,0.1625,0.3333333333333333,0.2734782608695652,0.02375,0.0016363636363636363,0.05833333333333334,0.21636363636363634,0.35512820512820514,0.6875,0.41600000000000004,0.016,0.13823529411764707,0.19333333333333333,0.027777777777777776,0.14153846153846153,0.8699999999999999,0.4,0.0,0.047619047619047616,0.019166666666666665
brisket,0.054680851063829784,0.11888888888888888,0.0,0.42000000000000004,0.1712,0.18363636363636363,0.015,0.0175,0.30666666666666664,0.16826086956521738,0.20875,0.0,0.05750000000000001,0.5372727272727272,0.2487179487179487,1.0125000000000002,0.532,0.012666666666666666,0.15764705882352942,0.0,0.13944444444444443,0.005384615384615384,0.3735,0.1523076923076923,0.0,0.05,0.015000000000000001
broccoli,0.03404255319148936,0.07333333333333333,0.0642857142857143,0.18545454545454546,0.052,0.032545454545454544,0.005,0.23,0.03333333333333333,0.1426086956521739,0.113125,0.08109090909090909,0.19833333333333336,0.03727272727272727,0.1641025641025641,0.016666666666666666,0.085,0.11666666666666667,0.04764705882352942,0.017777777777777778,0.08833333333333333,0.03230769230769231,0.092,0.13846153846153844,0.3322222222222222,0.03571428571428571,0.45416666666666666
broccoli rabe,0.03404255319148936,0.07333333333333333,0.0642857142857143,0.18545454545454546,0.052,0.032545454545454544,0.005,0.23,0.03333333333333333,0.1426086956521739,0.113125,0.08109090909090909,0.19833333333333336,0.03727272727272727,0.1641025641025641,0.016666666666666666,0.085,0.11666666666666667,0.04764705882352942,0.017777777777777778,0.08833333333333333,0.03230769230769231,0.092,0.13846153846153844,0.3322222222222222,0.03571428571428571,0.45416666666666666
brown rice,0.07382978723404256,0.22444444444444442,0.15,0.05454545454545454,0.0832,0.04218181818181818,0.0,0.115,0.0,0.09304347826086956,0.068125,0.088,0.11083333333333334,0.09545454545454546,0.05756410256410257,0.0,0.1304,0.07,0.05764705882352941,0.0,0.12722222222222224,0.04,0.0344,0.04,0.0,0.12142857142857143,0.055
brussel sprout,0.08276595744680851,0.07777777777777778,0.1357142857142857,0.02909090909090909,0.0552,0.03472727272727273,0.0,0.1525,0.0,0.010869565217391304,0.0465625,0.032545454545454544,0.11583333333333334,0.03818181818181818,0.003846153846153846,0.0,0.0676,0.058666666666666666,0.1288235294117647,0.042222222222222223,0.07777777777777778,0.03230769230769231,0.0031,0.06923076923076922,0.9444444444444444,0.05476190476190476,1.475
bulgur,0.013829787234042552,0.07777777777777778,0.15,0.010909090909090908,0.0304,0.012909090909090908,0.01,0.0425,0.0,0.1082608695652174,0.058125,0.06290909090909091,0.04416666666666667,0.04818181818181819,0.05346153846153846,0.0,0.0574,0.09333333333333332,0.19058823529411767,0.06,0.049444444444444444,0.008461538461538461,0.0418,0.021538461538461534,0.0,0.07142857142857142,0.059166666666666666
butter,0.15914893617021278,1.037777777777778,0.3678571428571429,0.04363636363636363,0.4064,0.09472727272727273,0.0,0.1325,0.0,0.09869565217391305,0.1975,0.06836363636363636,0.034166666666666665,0.2990909090909091,0.7115384615384616,0.0,0.42,1.6133333333333333,0.06058823529411765,0.0,0.1938888888888889,0.26692307692307693,0.3275,0.7223076923076923,0.0,0.6642857142857143,0.0
buttermilk,0.02872340425531915,0.02777777777777778,0.0,0.06727272727272728,0.068,0.026545454545454546,0.065,0.0125,0.03666666666666667,0.04565217391304348,0.005625,0.017745454545454543,0.03916666666666667,0.034545454545454546,0.042435897435897436,0.19166666666666668,0.0642,0.004666666666666667,0.021176470588235297,0.052222222222222225,0.0016666666666666666,0.08846153846153847,0.095,0.1323076923076923,0.0,0.023809523809523808,0.0025
butternut squash,0.03574468085106383,0.060000000000000005,0.04642857142857143,0.14363636363636365,0.0616,0.05836363636363637,0.03,0.0825,0.12666666666666668,0.07217391304347825,0.0525,0.09672727272727273,0.08333333333333334,0.04090909090909091,0.1026923076923077,0.07916666666666668,0.08,0.036000000000000004,0.052941176470588235,0.13333333333333333,0.051666666666666666,0.05,0.1155,0.13076923076923078,0.027777777777777776,0.030952380952380953,0.04083333333333334
cabbage,0.051702127659574465,0.01888888888888889,0.075,0.010909090909090908,0.024,0.031090909090909093,0.0,0.045,0.0,0.011739130434782608,0.026125,0.0268,0.05333333333333334,0.02,0.0020512820512820513,0.0,0.0286,0.007333333333333333,0.12294117647058823,0.06222222222222222,0.044444444444444446,0.03461538461538462,0.0010500000000000002,0.05307692307692308,0.6333333333333333,0.0380952380952381,0.31833333333333336
cake,0.0325531914893617,0.05555555555555556,0.13214285714285715,0.03636363636363636,0.0416,0.016181818181818183,0.0,0.08,0.016666666666666666,0.04391304347826087,0.049437499999999995,0.224,0.04166666666666667,0.024545454545454547,0.11666666666666667,0.004166666666666667,0.057999999999999996,0.060000000000000005,0.027058823529411764,0.0077777777777777776,0.11499999999999999,0.025384615384615384,0.052500000000000005,0.07615384615384616,0.005555555555555556,0.0380952380952381,0.0125
